Designator;Value;Footprint;Center-X(mm);Center-Y(mm);Rotation;Layer
LED256;KPT-2012SRC-PRV;0805_LED;94.1177;5.8824;45;TopLayer
LED255;KPT-2012SRC-PRV;0805_LED;88.2353;5.8824;45;TopLayer
LED254;KPT-2012SRC-PRV;0805_LED;82.3529;5.8824;45;TopLayer
LED253;KPT-2012SRC-PRV;0805_LED;76.4706;5.8824;45;TopLayer
LED252;KPT-2012SRC-PRV;0805_LED;70.5882;5.8824;45;TopLayer
LED251;KPT-2012SRC-PRV;0805_LED;64.7059;5.8824;45;TopLayer
LED250;KPT-2012SRC-PRV;0805_LED;58.8235;5.8824;45;TopLayer
LED249;KPT-2012SRC-PRV;0805_LED;52.9412;5.8824;45;TopLayer
LED248;KPT-2012SRC-PRV;0805_LED;47.0588;5.8824;45;TopLayer
LED247;KPT-2012SRC-PRV;0805_LED;41.1765;5.8824;45;TopLayer
LED246;KPT-2012SRC-PRV;0805_LED;35.2941;5.8824;45;TopLayer
LED245;KPT-2012SRC-PRV;0805_LED;29.4118;5.8824;45;TopLayer
LED244;KPT-2012SRC-PRV;0805_LED;23.5294;5.8824;45;TopLayer
LED243;KPT-2012SRC-PRV;0805_LED;17.6471;5.8824;45;TopLayer
LED242;KPT-2012SRC-PRV;0805_LED;11.7647;5.8824;45;TopLayer
LED241;KPT-2012SRC-PRV;0805_LED;5.8824;5.8824;45;TopLayer
LED240;KPT-2012SRC-PRV;0805_LED;94.1177;11.7647;45;TopLayer
LED239;KPT-2012SRC-PRV;0805_LED;88.2353;11.7647;45;TopLayer
LED238;KPT-2012SRC-PRV;0805_LED;82.3529;11.7647;45;TopLayer
LED237;KPT-2012SRC-PRV;0805_LED;76.4706;11.7647;45;TopLayer
LED236;KPT-2012SRC-PRV;0805_LED;70.5882;11.7647;45;TopLayer
LED235;KPT-2012SRC-PRV;0805_LED;64.7059;11.7647;45;TopLayer
LED234;KPT-2012SRC-PRV;0805_LED;58.8235;11.7647;45;TopLayer
LED233;KPT-2012SRC-PRV;0805_LED;52.9412;11.7647;45;TopLayer
LED232;KPT-2012SRC-PRV;0805_LED;47.0588;11.7647;45;TopLayer
LED231;KPT-2012SRC-PRV;0805_LED;41.1765;11.7647;45;TopLayer
LED230;KPT-2012SRC-PRV;0805_LED;35.2941;11.7647;45;TopLayer
LED229;KPT-2012SRC-PRV;0805_LED;29.4118;11.7647;45;TopLayer
LED228;KPT-2012SRC-PRV;0805_LED;23.5294;11.7647;45;TopLayer
LED227;KPT-2012SRC-PRV;0805_LED;17.6471;11.7647;45;TopLayer
LED226;KPT-2012SRC-PRV;0805_LED;11.7647;11.7647;45;TopLayer
LED225;KPT-2012SRC-PRV;0805_LED;5.8824;11.7647;45;TopLayer
LED224;KPT-2012SRC-PRV;0805_LED;94.1177;17.6471;45;TopLayer
LED223;KPT-2012SRC-PRV;0805_LED;88.2353;17.6471;45;TopLayer
LED222;KPT-2012SRC-PRV;0805_LED;82.3529;17.6471;45;TopLayer
LED221;KPT-2012SRC-PRV;0805_LED;76.4706;17.6471;45;TopLayer
LED220;KPT-2012SRC-PRV;0805_LED;70.5882;17.6471;45;TopLayer
LED219;KPT-2012SRC-PRV;0805_LED;64.7059;17.6471;45;TopLayer
LED218;KPT-2012SRC-PRV;0805_LED;58.8235;17.6471;45;TopLayer
