Designator;Comment;Footprint;Center-X(mm);Center-Y(mm);Rotation;Layer
LED1;KPT-2012SRC-PRV;0805_LED;13.3824;9.1177;45;TopLayer
LED2;KPT-2012SRC-PRV;0805_LED;19.2647;9.1177;45;TopLayer
LED3;KPT-2012SRC-PRV;0805_LED;25.1471;9.1177;45;TopLayer
LED4;KPT-2012SRC-PRV;0805_LED;31.0294;9.1177;45;TopLayer
LED5;KPT-2012SRC-PRV;0805_LED;36.9118;9.1177;45;TopLayer
LED6;KPT-2012SRC-PRV;0805_LED;42.7941;9.1177;45;TopLayer
LED7;KPT-2012SRC-PRV;0805_LED;48.6765;9.1177;45;TopLayer
LED8;KPT-2012SRC-PRV;0805_LED;54.5588;9.1177;45;TopLayer
LED9;KPT-2012SRC-PRV;0805_LED;60.4412;9.1177;45;TopLayer
LED10;KPT-2012SRC-PRV;0805_LED;66.3235;9.1177;45;TopLayer
LED11;KPT-2012SRC-PRV;0805_LED;72.2059;9.1177;45;TopLayer
LED12;KPT-2012SRC-PRV;0805_LED;78.0882;9.1177;45;TopLayer
LED13;KPT-2012SRC-PRV;0805_LED;83.9706;9.1177;45;TopLayer
LED14;KPT-2012SRC-PRV;0805_LED;89.8529;9.1177;45;TopLayer
LED15;KPT-2012SRC-PRV;0805_LED;95.7353;9.1177;45;TopLayer
LED16;KPT-2012SRC-PRV;0805_LED;101.6177;9.1177;45;TopLayer
LED17;KPT-2012SRC-PRV;0805_LED;13.3824;3.2353;45;TopLayer
LED18;KPT-2012SRC-PRV;0805_LED;19.2647;3.2353;45;TopLayer
LED19;KPT-2012SRC-PRV;0805_LED;25.1471;3.2353;45;TopLayer
LED20;KPT-2012SRC-PRV;0805_LED;31.0294;3.2353;45;TopLayer
LED21;KPT-2012SRC-PRV;0805_LED;36.9118;3.2353;45;TopLayer
LED22;KPT-2012SRC-PRV;0805_LED;42.7941;3.2353;45;TopLayer
LED23;KPT-2012SRC-PRV;0805_LED;48.6765;3.2353;45;TopLayer
LED24;KPT-2012SRC-PRV;0805_LED;54.5588;3.2353;45;TopLayer
LED25;KPT-2012SRC-PRV;0805_LED;60.4412;3.2353;45;TopLayer
LED26;KPT-2012SRC-PRV;0805_LED;66.3235;3.2353;45;TopLayer
LED27;KPT-2012SRC-PRV;0805_LED;72.2059;3.2353;45;TopLayer
LED28;KPT-2012SRC-PRV;0805_LED;78.0882;3.2353;45;TopLayer
LED29;KPT-2012SRC-PRV;0805_LED;83.9706;3.2353;45;TopLayer
LED30;KPT-2012SRC-PRV;0805_LED;89.8529;3.2353;45;TopLayer
LED31;KPT-2012SRC-PRV;0805_LED;95.7353;3.2353;45;TopLayer
LED32;KPT-2012SRC-PRV;0805_LED;101.6177;3.2353;45;TopLayer
LED33;KPT-2012SRC-PRV;0805_LED;13.3824;-2.6471;45;TopLayer
LED34;KPT-2012SRC-PRV;0805_LED;19.2647;-2.6471;45;TopLayer
LED35;KPT-2012SRC-PRV;0805_LED;25.1471;-2.6471;45;TopLayer
LED36;KPT-2012SRC-PRV;0805_LED;31.0294;-2.6471;45;TopLayer
LED37;KPT-2012SRC-PRV;0805_LED;36.9118;-2.6471;45;TopLayer
LED38;KPT-2012SRC-PRV;0805_LED;42.7941;-2.6471;45;TopLayer
LED39;KPT-2012SRC-PRV;0805_LED;48.6765;-2.6471;45;TopLayer
LED40;KPT-2012SRC-PRV;0805_LED;54.5588;-2.6471;45;TopLayer
LED41;KPT-2012SRC-PRV;0805_LED;60.4412;-2.6471;45;TopLayer
LED42;KPT-2012SRC-PRV;0805_LED;66.3235;-2.6471;45;TopLayer
LED43;KPT-2012SRC-PRV;0805_LED;72.2059;-2.6471;45;TopLayer
LED44;KPT-2012SRC-PRV;0805_LED;78.0882;-2.6471;45;TopLayer
LED45;KPT-2012SRC-PRV;0805_LED;83.9706;-2.6471;45;TopLayer
LED46;KPT-2012SRC-PRV;0805_LED;89.8529;-2.6471;45;TopLayer
LED47;KPT-2012SRC-PRV;0805_LED;95.7353;-2.6471;45;TopLayer
LED48;KPT-2012SRC-PRV;0805_LED;101.6177;-2.6471;45;TopLayer
LED49;KPT-2012SRC-PRV;0805_LED;13.3824;-8.5294;45;TopLayer
LED50;KPT-2012SRC-PRV;0805_LED;19.2647;-8.5294;45;TopLayer
LED51;KPT-2012SRC-PRV;0805_LED;25.1471;-8.5294;45;TopLayer
LED52;KPT-2012SRC-PRV;0805_LED;31.0294;-8.5294;45;TopLayer
LED53;KPT-2012SRC-PRV;0805_LED;36.9118;-8.5294;45;TopLayer
LED54;KPT-2012SRC-PRV;0805_LED;42.7941;-8.5294;45;TopLayer
LED55;KPT-2012SRC-PRV;0805_LED;48.6765;-8.5294;45;TopLayer
LED56;KPT-2012SRC-PRV;0805_LED;54.5588;-8.5294;45;TopLayer
LED57;KPT-2012SRC-PRV;0805_LED;60.4412;-8.5294;45;TopLayer
LED58;KPT-2012SRC-PRV;0805_LED;66.3235;-8.5294;45;TopLayer
LED59;KPT-2012SRC-PRV;0805_LED;72.2059;-8.5294;45;TopLayer
LED60;KPT-2012SRC-PRV;0805_LED;78.0882;-8.5294;45;TopLayer
LED61;KPT-2012SRC-PRV;0805_LED;83.9706;-8.5294;45;TopLayer
LED62;KPT-2012SRC-PRV;0805_LED;89.8529;-8.5294;45;TopLayer
LED63;KPT-2012SRC-PRV;0805_LED;95.7353;-8.5294;45;TopLayer
LED64;KPT-2012SRC-PRV;0805_LED;101.6177;-8.5294;45;TopLayer
LED65;KPT-2012SRC-PRV;0805_LED;13.3824;-14.4118;45;TopLayer
LED66;KPT-2012SRC-PRV;0805_LED;19.2647;-14.4118;45;TopLayer
LED67;KPT-2012SRC-PRV;0805_LED;25.1471;-14.4118;45;TopLayer
LED68;KPT-2012SRC-PRV;0805_LED;31.0294;-14.4118;45;TopLayer
LED69;KPT-2012SRC-PRV;0805_LED;36.9118;-14.4118;45;TopLayer
LED70;KPT-2012SRC-PRV;0805_LED;42.7941;-14.4118;45;TopLayer
LED71;KPT-2012SRC-PRV;0805_LED;48.6765;-14.4118;45;TopLayer
LED72;KPT-2012SRC-PRV;0805_LED;54.5588;-14.4118;45;TopLayer
LED73;KPT-2012SRC-PRV;0805_LED;60.4412;-14.4118;45;TopLayer
LED74;KPT-2012SRC-PRV;0805_LED;66.3235;-14.4118;45;TopLayer
LED75;KPT-2012SRC-PRV;0805_LED;72.2059;-14.4118;45;TopLayer
LED76;KPT-2012SRC-PRV;0805_LED;78.0882;-14.4118;45;TopLayer
LED77;KPT-2012SRC-PRV;0805_LED;83.9706;-14.4118;45;TopLayer
LED78;KPT-2012SRC-PRV;0805_LED;89.8529;-14.4118;45;TopLayer
LED79;KPT-2012SRC-PRV;0805_LED;95.7353;-14.4118;45;TopLayer
LED80;KPT-2012SRC-PRV;0805_LED;101.6177;-14.4118;45;TopLayer
LED81;KPT-2012SRC-PRV;0805_LED;13.3824;-20.2941;45;TopLayer
LED82;KPT-2012SRC-PRV;0805_LED;19.2647;-20.2941;45;TopLayer
LED83;KPT-2012SRC-PRV;0805_LED;25.1471;-20.2941;45;TopLayer
LED84;KPT-2012SRC-PRV;0805_LED;31.0294;-20.2941;45;TopLayer
LED85;KPT-2012SRC-PRV;0805_LED;36.9118;-20.2941;45;TopLayer
LED86;KPT-2012SRC-PRV;0805_LED;42.7941;-20.2941;45;TopLayer
LED87;KPT-2012SRC-PRV;0805_LED;48.6765;-20.2941;45;TopLayer
LED88;KPT-2012SRC-PRV;0805_LED;54.5588;-20.2941;45;TopLayer
LED89;KPT-2012SRC-PRV;0805_LED;60.4412;-20.2941;45;TopLayer
LED90;KPT-2012SRC-PRV;0805_LED;66.3235;-20.2941;45;TopLayer
LED91;KPT-2012SRC-PRV;0805_LED;72.2059;-20.2941;45;TopLayer
LED92;KPT-2012SRC-PRV;0805_LED;78.0882;-20.2941;45;TopLayer
LED93;KPT-2012SRC-PRV;0805_LED;83.9706;-20.2941;45;TopLayer
LED94;KPT-2012SRC-PRV;0805_LED;89.8529;-20.2941;45;TopLayer
LED95;KPT-2012SRC-PRV;0805_LED;95.7353;-20.2941;45;TopLayer
LED96;KPT-2012SRC-PRV;0805_LED;101.6177;-20.2941;45;TopLayer
LED97;KPT-2012SRC-PRV;0805_LED;13.3824;-26.1765;45;TopLayer
LED98;KPT-2012SRC-PRV;0805_LED;19.2647;-26.1765;45;TopLayer
LED99;KPT-2012SRC-PRV;0805_LED;25.1471;-26.1765;45;TopLayer
LED100;KPT-2012SRC-PRV;0805_LED;31.0294;-26.1765;45;TopLayer
LED101;KPT-2012SRC-PRV;0805_LED;36.9118;-26.1765;45;TopLayer
LED102;KPT-2012SRC-PRV;0805_LED;42.7941;-26.1765;45;TopLayer
